CENTRAL,1C,5-ROOM,5100
CLEMENTI,416,5-ROOM,5100
CLEMENTI,311C,4-ROOM,5100
JURONG WEST,657A,4-ROOM,5100
BUKIT MERAH,12,5-ROOM,5050
BUKIT MERAH,12,5-ROOM,5050
CENTRAL,1C,4-ROOM,5050
ANG MO KIO,176,5-ROOM,5000
ANG MO KIO,565,5-ROOM,5000
ANG MO KIO,565,5-ROOM,5000
BUKIT MERAH,2,5-ROOM,5000
BUKIT MERAH,13,5-ROOM,5000
BUKIT MERAH,18,3-ROOM,5000
BUKIT MERAH,22,5-ROOM,5000
BUKIT MERAH,38,3-ROOM,5000
BUKIT MERAH,67,5-ROOM,5000
BUKIT MERAH,82,5-ROOM,5000
BUKIT MERAH,83,5-ROOM,5000
BUKIT MERAH,94,5-ROOM,5000
BUKIT MERAH,95,5-ROOM,5000
BUKIT MERAH,10A,4-ROOM,5000
BUKIT MERAH,10A,4-ROOM,5000
BUKIT MERAH,10B,4-ROOM,5000
BUKIT MERAH,26C,4-ROOM,5000
BUKIT MERAH,4A,5-ROOM,5000
BUKIT MERAH,6A,5-ROOM,5000
BUKIT MERAH,6A,5-ROOM,5000
BUKIT MERAH,74A,5-ROOM,5000
BUKIT MERAH,74A,5-ROOM,5000
BUKIT MERAH,75C,5-ROOM,5000
BUKIT MERAH,75C,5-ROOM,5000
BUKIT MERAH,77A,5-ROOM,5000
BUKIT MERAH,8B,5-ROOM,5000
BUKIT MERAH,90A,4-ROOM,5000
BUKIT MERAH,90A,4-ROOM,5000
BUKIT MERAH,91A,4-ROOM,5000
BUKIT MERAH,93A,4-ROOM,5000
BUKIT MERAH,93A,4-ROOM,5000
BUKIT MERAH,95C,5-ROOM,5000
BUKIT MERAH,9A,5-ROOM,5000
BUKIT MERAH,9B,5-ROOM,5000
BUKIT MERAH,9B,5-ROOM,5000
BUKIT TIMAH,5,5-ROOM,5000
CENTRAL,662,4-ROOM,5000
CENTRAL,1A,4-ROOM,5000
CENTRAL,1A,4-ROOM,5000
CENTRAL,1B,4-ROOM,5000
CENTRAL,1B,4-ROOM,5000
CENTRAL,1C,5-ROOM,5000
CENTRAL,1C,4-ROOM,5000
CENTRAL,1C,4-ROOM,5000
CENTRAL,1D,4-ROOM,5000
CENTRAL,1D,4-ROOM,5000
CENTRAL,1D,4-ROOM,5000
CENTRAL,1D,5-ROOM,5000
CENTRAL,1D,4-ROOM,5000
CENTRAL,1F,4-ROOM,5000
CENTRAL,1G,4-ROOM,5000
CENTRAL,1G,5-ROOM,5000
CHOA CHU KANG,120,EXECUTIVE,5000
CHOA CHU KANG,637,EXECUTIVE,5000
CHOA CHU KANG,637,EXECUTIVE,5000
CLEMENTI,116,EXECUTIVE,5000
CLEMENTI,340,5-ROOM,5000
CLEMENTI,414,5-ROOM,5000
GEYLANG,90B,4-ROOM,5000
HOUGANG,141,EXECUTIVE,5000
JURONG EAST,212,5-ROOM,5000
KALLANG/WHAMPOA,8,5-ROOM,5000
KALLANG/WHAMPOA,11,5-ROOM,5000
KALLANG/WHAMPOA,26B,4-ROOM,5000
KALLANG/WHAMPOA,2A,5-ROOM,5000
MARINE PARADE,27,5-ROOM,5000
MARINE PARADE,71,5-ROOM,5000
PASIR RIS,580,EXECUTIVE,5000
PASIR RIS,647,EXECUTIVE,5000
QUEENSTOWN,7A,5-ROOM,5000
SERANGOON,327,4-ROOM,5000
SERANGOON,409,4-ROOM,5000
SERANGOON,417,EXECUTIVE,5000
SERANGOON,424,EXECUTIVE,5000
SERANGOON,500,5-ROOM,5000
TAMPINES,147,EXECUTIVE,5000
TAMPINES,405,5-ROOM,5000
TOA PAYOH,7,5-ROOM,5000
TOA PAYOH,152,5-ROOM,5000
TOA PAYOH,138A,5-ROOM,5000
TOA PAYOH,139B,5-ROOM,5000
TOA PAYOH,84A,5-ROOM,5000
WOODLANDS,115,EXECUTIVE,5000
CLEMENTI,417,4-ROOM,4960
JURONG EAST,287B,EXECUTIVE,4950
TAMPINES,930,EXECUTIVE,4950
BUKIT MERAH,1,5-ROOM,4900
BUKIT MERAH,8,5-ROOM,4900
BUKIT MERAH,20,4-ROOM,4900
BUKIT MERAH,37,3-ROOM,4900
BUKIT MERAH,49,5-ROOM,4900
BUKIT MERAH,81,5-ROOM,4900
BUKIT MERAH,87,5-ROOM,4900
BUKIT MERAH,120,5-ROOM,4900
BUKIT MERAH,139,5-ROOM,4900
BUKIT MERAH,10A,4-ROOM,4900
BUKIT MERAH,131C,4-ROOM,4900
BUKIT MERAH,131C,4-ROOM,4900
BUKIT MERAH,63A,4-ROOM,4900
BUKIT MERAH,75A,5-ROOM,4900
BUKIT MERAH,93B,4-ROOM,4900
BUKIT MERAH,9A,5-ROOM,4900
CENTRAL,1D,4-ROOM,4900
CENTRAL,1E,4-ROOM,4900
CLEMENTI,347,4-ROOM,4900
GEYLANG,27,5-ROOM,4900
HOUGANG,222,EXECUTIVE,4900
HOUGANG,237,EXECUTIVE,4900
JURONG EAST,287B,EXECUTIVE,4900
JURONG WEST,185,5-ROOM,4900
JURONG WEST,609,EXECUTIVE,4900
JURONG WEST,216A,5-ROOM,4900
KALLANG/WHAMPOA,8,5-ROOM,4900
KALLANG/WHAMPOA,113C,4-ROOM,4900
KALLANG/WHAMPOA,38A,5-ROOM,4900
MARINE PARADE,20,4-ROOM,4900
MARINE PARADE,43,5-ROOM,4900
MARINE PARADE,43,5-ROOM,4900
TAMPINES,148,EXECUTIVE,4900
TOA PAYOH,138C,5-ROOM,4900
YISHUN,652,EXECUTIVE,4900
CHOA CHU KANG,677,EXECUTIVE,4850
JURONG WEST,523,5-ROOM,4850
WOODLANDS,805,EXECUTIVE,4850
ANG MO KIO,458,5-ROOM,4800
BEDOK,10D,EXECUTIVE,4800
BUKIT BATOK,289A,EXECUTIVE,4800
BUKIT MERAH,4,5-ROOM,4800
BUKIT MERAH,4,5-ROOM,4800
BUKIT MERAH,34,3-ROOM,4800
BUKIT MERAH,52,5-ROOM,4800
BUKIT MERAH,81,5-ROOM,4800
BUKIT MERAH,82,5-ROOM,4800
BUKIT MERAH,126,5-ROOM,4800
BUKIT MERAH,135,5-ROOM,4800
BUKIT MERAH,10A,4-ROOM,4800
BUKIT MERAH,119B,5-ROOM,4800
BUKIT MERAH,119C,5-ROOM,4800
BUKIT MERAH,2A,4-ROOM,4800
BUKIT MERAH,76A,5-ROOM,4800
BUKIT MERAH,90A,4-ROOM,4800
BUKIT MERAH,90A,4-ROOM,4800
BUKIT MERAH,90A,4-ROOM,4800
BUKIT MERAH,90B,4-ROOM,4800
BUKIT MERAH,93B,4-ROOM,4800
BUKIT TIMAH,5,5-ROOM,4800
BUKIT TIMAH,15,EXECUTIVE,4800
CENTRAL,262,4-ROOM,4800
CENTRAL,1B,4-ROOM,4800
CENTRAL,1C,4-ROOM,4800
CENTRAL,1C,4-ROOM,4800
CENTRAL,1D,5-ROOM,4800
CENTRAL,1E,4-ROOM,4800
CENTRAL,1E,5-ROOM,4800
CENTRAL,269B,4-ROOM,4800
CHOA CHU KANG,542,5-ROOM,4800
CHOA CHU KANG,663,EXECUTIVE,4800
CLEMENTI,111,EXECUTIVE,4800
CLEMENTI,339,EXECUTIVE,4800
CLEMENTI,414,5-ROOM,4800
CLEMENTI,420,4-ROOM,4800
CLEMENTI,420,4-ROOM,4800
CLEMENTI,428,4-ROOM,4800
CLEMENTI,311A,5-ROOM,4800
CLEMENTI,441B,4-ROOM,4800
CLEMENTI,441B,4-ROOM,4800
GEYLANG,7,5-ROOM,4800
GEYLANG,60,5-ROOM,4800
HOUGANG,222,EXECUTIVE,4800
HOUGANG,455,EXECUTIVE,4800
HOUGANG,850,EXECUTIVE,4800
JURONG EAST,315,4-ROOM,4800
JURONG WEST,630,EXECUTIVE,4800
JURONG WEST,652B,5-ROOM,4800
JURONG WEST,654A,5-ROOM,4800
JURONG WEST,670A,5-ROOM,4800
JURONG WEST,673B,5-ROOM,4800
JURONG WEST,682A,EXECUTIVE,4800
JURONG WEST,988B,5-ROOM,4800
KALLANG/WHAMPOA,8,5-ROOM,4800
KALLANG/WHAMPOA,10A,4-ROOM,4800
KALLANG/WHAMPOA,10C,4-ROOM,4800
KALLANG/WHAMPOA,113D,4-ROOM,4800
KALLANG/WHAMPOA,8A,4-ROOM,4800
MARINE PARADE,13,5-ROOM,4800
PASIR RIS,418,EXECUTIVE,4800
PASIR RIS,534,EXECUTIVE,4800
SENGKANG,238,5-ROOM,4800
SERANGOON,421,4-ROOM,4800
TAMPINES,124,EXECUTIVE,4800
TAMPINES,497G,5-ROOM,4800
TAMPINES,856E,EXECUTIVE,4800
TOA PAYOH,121,5-ROOM,4800
TOA PAYOH,168,5-ROOM,4800
TOA PAYOH,102B,4-ROOM,4800
TOA PAYOH,138A,5-ROOM,4800
TOA PAYOH,138A,5-ROOM,4800
TOA PAYOH,138B,5-ROOM,4800
TOA PAYOH,138C,5-ROOM,4800
TOA PAYOH,99B,EXECUTIVE,4800
WOODLANDS,175,5-ROOM,4800
WOODLANDS,175,5-ROOM,4800
WOODLANDS,325,EXECUTIVE,4800
WOODLANDS,807,EXECUTIVE,4800
BUKIT MERAH,29,3-ROOM,4750
BUKIT MERAH,10A,4-ROOM,4750
BUKIT MERAH,119D,5-ROOM,4750
BUKIT MERAH,6A,5-ROOM,4750
KALLANG/WHAMPOA,8,5-ROOM,4750
ANG MO KIO,588C,5-ROOM,4700
BEDOK,117,EXECUTIVE,4700
BEDOK,160,EXECUTIVE,4700
BEDOK,719,EXECUTIVE,4700
BEDOK,762,4-ROOM,4700
BUKIT MERAH,1,5-ROOM,4700
BUKIT MERAH,8,5-ROOM,4700
BUKIT MERAH,12,5-ROOM,4700
BUKIT MERAH,19,5-ROOM,4700
BUKIT MERAH,46,5-ROOM,4700
BUKIT MERAH,47,4-ROOM,4700
BUKIT MERAH,52,4-ROOM,4700
BUKIT MERAH,68,5-ROOM,4700
BUKIT MERAH,88,5-ROOM,4700
BUKIT MERAH,111A,5-ROOM,4700
BUKIT MERAH,118C,5-ROOM,4700
BUKIT MERAH,119B,5-ROOM,4700
BUKIT MERAH,119D,5-ROOM,4700
BUKIT MERAH,27B,5-ROOM,4700
BUKIT MERAH,2C,5-ROOM,4700
BUKIT MERAH,2C,5-ROOM,4700
BUKIT MERAH,2C,5-ROOM,4700
BUKIT MERAH,4A,5-ROOM,4700
BUKIT MERAH,4A,5-ROOM,4700
BUKIT MERAH,74A,5-ROOM,4700
BUKIT MERAH,75B,4-ROOM,4700
BUKIT MERAH,90A,4-ROOM,4700
BUKIT MERAH,93A,4-ROOM,4700
CENTRAL,1C,5-ROOM,4700
CENTRAL,1E,4-ROOM,4700
CLEMENTI,324,4-ROOM,4700
CLEMENTI,427,4-ROOM,4700
CLEMENTI,462,4-ROOM,4700
CLEMENTI,445B,5-ROOM,4700
GEYLANG,7,5-ROOM,4700
GEYLANG,45,4-ROOM,4700
JURONG WEST,334,EXECUTIVE,4700
JURONG WEST,656D,EXECUTIVE,4700
KALLANG/WHAMPOA,69,4-ROOM,4700
KALLANG/WHAMPOA,86,5-ROOM,4700
KALLANG/WHAMPOA,104,5-ROOM,4700
KALLANG/WHAMPOA,108C,4-ROOM,4700
KALLANG/WHAMPOA,3C,5-ROOM,4700
TAMPINES,101,4-ROOM,4700
TAMPINES,151,EXECUTIVE,4700
TAMPINES,724,5-ROOM,4700
TOA PAYOH,79A,5-ROOM,4700
YISHUN,351,EXECUTIVE,4700
BEDOK,717,5-ROOM,4680
BEDOK,804,5-ROOM,4675
BUKIT MERAH,88,4-ROOM,4650
BUKIT MERAH,127D,4-ROOM,4650
BUKIT TIMAH,5,5-ROOM,4650
CLEMENTI,458,5-ROOM,4650
BEDOK,103,5-ROOM,4600
BEDOK,507,4-ROOM,4600
BEDOK,649,5-ROOM,4600
BEDOK,655,5-ROOM,4600
BEDOK,10F,EXECUTIVE,4600
BEDOK,10F,EXECUTIVE,4600
BEDOK,29A,EXECUTIVE,4600
BUKIT BATOK,292C,5-ROOM,4600
BUKIT MERAH,8,4-ROOM,4600
BUKIT MERAH,8,5-ROOM,4600
BUKIT MERAH,23,5-ROOM,4600
BUKIT MERAH,35,5-ROOM,4600
BUKIT MERAH,43,3-ROOM,4600
BUKIT MERAH,45,5-ROOM,4600
BUKIT MERAH,81,5-ROOM,4600
BUKIT MERAH,81,5-ROOM,4600
BUKIT MERAH,82,5-ROOM,4600
BUKIT MERAH,111B,5-ROOM,4600
BUKIT MERAH,124B,5-ROOM,4600
BUKIT MERAH,127D,4-ROOM,4600
BUKIT MERAH,131B,5-ROOM,4600
BUKIT MERAH,4A,5-ROOM,4600
BUKIT MERAH,4A,5-ROOM,4600
BUKIT MERAH,75A,5-ROOM,4600
BUKIT MERAH,75A,5-ROOM,4600
BUKIT MERAH,75C,5-ROOM,4600
BUKIT MERAH,75C,5-ROOM,4600
BUKIT MERAH,92B,4-ROOM,4600
BUKIT MERAH,93A,4-ROOM,4600
BUKIT TIMAH,3,4-ROOM,4600
BUKIT TIMAH,8,EXECUTIVE,4600
BUKIT TIMAH,9,5-ROOM,4600
CENTRAL,661,4-ROOM,4600
CENTRAL,1F,4-ROOM,4600
CLEMENTI,204,4-ROOM,4600
CLEMENTI,413,5-ROOM,4600
CLEMENTI,420,4-ROOM,4600
CLEMENTI,426,4-ROOM,4600
CLEMENTI,716,4-ROOM,4600
CLEMENTI,311A,4-ROOM,4600
CLEMENTI,311A,4-ROOM,4600
GEYLANG,11,5-ROOM,4600
GEYLANG,60,5-ROOM,4600
GEYLANG,38B,4-ROOM,4600
GEYLANG,3A,4-ROOM,4600
HOUGANG,539,EXECUTIVE,4600
HOUGANG,851,EXECUTIVE,4600
JURONG EAST,203,5-ROOM,4600
JURONG EAST,203,5-ROOM,4600
JURONG EAST,278,4-ROOM,4600
JURONG EAST,302,5-ROOM,4600
JURONG EAST,287B,EXECUTIVE,4600
JURONG WEST,263,5-ROOM,4600
JURONG WEST,634,5-ROOM,4600
JURONG WEST,274B,EXECUTIVE,4600
JURONG WEST,656C,EXECUTIVE,4600
JURONG WEST,658B,5-ROOM,4600
JURONG WEST,685A,EXECUTIVE,4600
KALLANG/WHAMPOA,8,5-ROOM,4600
KALLANG/WHAMPOA,13,5-ROOM,4600
KALLANG/WHAMPOA,813,5-ROOM,4600
KALLANG/WHAMPOA,815,4-ROOM,4600
KALLANG/WHAMPOA,816,5-ROOM,4600
KALLANG/WHAMPOA,113A,4-ROOM,4600
MARINE PARADE,3,5-ROOM,4600
MARINE PARADE,14,5-ROOM,4600
MARINE PARADE,27,5-ROOM,4600
PASIR RIS,207,EXECUTIVE,4600
PASIR RIS,223,EXECUTIVE,4600
PASIR RIS,223,EXECUTIVE,4600
PASIR RIS,270,EXECUTIVE,4600
PASIR RIS,536,EXECUTIVE,4600
PASIR RIS,581,EXECUTIVE,4600
PASIR RIS,642,EXECUTIVE,4600
PASIR RIS,781,EXECUTIVE,4600
QUEENSTOWN,61B,4-ROOM,4600
SENGKANG,279B,5-ROOM,4600
SENGKANG,286B,5-ROOM,4600
TAMPINES,142,5-ROOM,4600
TAMPINES,226,EXECUTIVE,4600
TAMPINES,405,5-ROOM,4600
TAMPINES,856,5-ROOM,4600
TAMPINES,863,EXECUTIVE,4600
TAMPINES,863,EXECUTIVE,4600
TAMPINES,889,EXECUTIVE,4600
TAMPINES,889,EXECUTIVE,4600
TAMPINES,889,EXECUTIVE,4600
TAMPINES,940,EXECUTIVE,4600
TAMPINES,515B,5-ROOM,4600
TOA PAYOH,130B,4-ROOM,4600
TOA PAYOH,79C,5-ROOM,4600
WOODLANDS,330,EXECUTIVE,4600
YISHUN,473A,5-ROOM,4600
YISHUN,473A,5-ROOM,4600
BUKIT BATOK,524,EXECUTIVE,4550
CLEMENTI,115,EXECUTIVE,4550
KALLANG/WHAMPOA,117B,4-ROOM,4550
TAMPINES,389,4-ROOM,4550
ANG MO KIO,132,5-ROOM,4500
ANG MO KIO,134,4-ROOM,4500
ANG MO KIO,304,4-ROOM,4500
ANG MO KIO,710,5-ROOM,4500
ANG MO KIO,228B,5-ROOM,4500
ANG MO KIO,310B,5-ROOM,4500
ANG MO KIO,591A,4-ROOM,4500
ANG MO KIO,596B,5-ROOM,4500
BEDOK,25,5-ROOM,4500
BEDOK,67,5-ROOM,4500
BEDOK,103,5-ROOM,4500
BEDOK,115,EXECUTIVE,4500
BEDOK,137,EXECUTIVE,4500
BEDOK,139,5-ROOM,4500
BEDOK,160,EXECUTIVE,4500
BEDOK,417,5-ROOM,4500
BEDOK,656,5-ROOM,4500
BEDOK,656,5-ROOM,4500
BEDOK,665,EXECUTIVE,4500
BEDOK,672,5-ROOM,4500
BEDOK,10D,EXECUTIVE,4500
BEDOK,153C,5-ROOM,4500
BEDOK,220C,5-ROOM,4500
BISHAN,275A,5-ROOM,4500
BISHAN,275A,5-ROOM,4500
BISHAN,275A,5-ROOM,4500
BUKIT BATOK,121,EXECUTIVE,4500
BUKIT BATOK,189,5-ROOM,4500
BUKIT BATOK,204,4-ROOM,4500
BUKIT BATOK,542,EXECUTIVE,4500
BUKIT BATOK,627,EXECUTIVE,4500
BUKIT BATOK,628,EXECUTIVE,4500
BUKIT BATOK,628,EXECUTIVE,4500
BUKIT BATOK,292C,5-ROOM,4500
BUKIT BATOK,446A,5-ROOM,4500
BUKIT MERAH,2,5-ROOM,4500
BUKIT MERAH,8,4-ROOM,4500
BUKIT MERAH,12,5-ROOM,4500
BUKIT MERAH,16,4-ROOM,4500
BUKIT MERAH,17,4-ROOM,4500
BUKIT MERAH,17,5-ROOM,4500
BUKIT MERAH,19,4-ROOM,4500
BUKIT MERAH,19,4-ROOM,4500
BUKIT MERAH,23,5-ROOM,4500
BUKIT MERAH,23,4-ROOM,4500
BUKIT MERAH,23,5-ROOM,4500
BUKIT MERAH,25,3-ROOM,4500
BUKIT MERAH,34,3-ROOM,4500
BUKIT MERAH,34,3-ROOM,4500
BUKIT MERAH,37,4-ROOM,4500
BUKIT MERAH,48,4-ROOM,4500
